municipios_BR_dadosFID,municipios_BR_dadosmun_nm,municipios_BR_dadoscod_ibge,municipios_BR_dadosT2_1_man,municipios_BR_dadosT2_2_rpe,municipios_BR_dadosT2_2_qe_m3,municipios_BR_dadosT2_2_qe_ls,municipios_BR_dadosT2_4_tpsis,municipios_BR_dadosT2_4_tp_op,municipios_BR_dadosT3_1_c_man,municipios_BR_dadosT3_2_sispr,municipios_BR_dadosT3_3_avqtt,municipios_BR_dadosT3_4_dist,municipios_BR_dadosT3_5_efdis,municipios_BR_dadosT3_6_efpr,municipios_BR_dadosT3_7_ish,municipios_BR_dadosT3_8_plnac,municipios_BR_dadosT3_9_ivi,municipios_BR_dadosT3_10_perd,municipios_BR_dadosT2_2_SiSem,WebServices_Croquis_vfinalcsvHiperlink1,WebServices_Croquis_vfinalcsvNome_Croqui1,WebServices_Croquis_vfinalcsvHiperlink2,WebServices_Croquis_vfinalcsvNome_Croqui2,WebServices_Croquis_vfinalcsvHiperlink3,WebServices_Croquis_vfinalcsvNome_Croqui3,WebServices_Croquis_vfinalcsvHiperlink4,WebServices_Croquis_vfinalcsvNome_Croqui4,WebServices_Croquis_vfinalcsvHiperlink5,WebServices_Croquis_vfinalcsvNome_Croqui5,WebServices_Croquis_vfinalcsvHiperlink6,WebServices_Croquis_vfinalcsvNome_Croqui6,WebServices_Croquis_vfinalcsvHiperlink7,WebServices_Croquis_vfinalcsvNome_Croqui7
5422,Jacobina,2917508,Exclusivamente Superficial,2917508,3.8e-05,0.037522,Sistema Isolado,Companhia Estadual,Manancial com Alta Vulnerabilidade,Ampliação do sistema,Manancial com Alta Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Mínima,Média,Infraestrutura Recomendada,A2,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2917508_Jacobina.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5423,Iuiú,2917334,Exclusivamente Superficial,2917334,8.3e-05,0.082781,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária,Sistema Integrado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_BA_INT_49_AdutoradoAlgodao.pdf,Sistema Integrado Adutora do Algodão,,,,,,,,,,,,
5424,Jaborandi,2917359,Exclusivamente Superficial,2917359,0.001255,1.255325,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2917359_Jaborandi.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5425,Atalaia,4102208,Exclusivamente Subterrânea,4102208,0.000514,0.513743,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4102208_Atalaia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5426,Bela Vista da Caroba,4102752,Exclusivamente Subterrânea,4102752,0.002067,2.067077,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4102752_BelaVistadaCaroba.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5427,Boa Esperança,4103008,Exclusivamente Subterrânea,4103008,0.001826,1.82587,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4103008_BoaEsperanca.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5428,Pato Bragado,4118451,Exclusivamente Subterrânea,4118451,0.001314,1.314405,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4118451_PatoBragado.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5429,Macaúbas,2919801,Preponderantemente Superficial,2919801,0.000146,0.14572,Sistema Isolado,Autarquia Municipal,Manancial com Alta Vulnerabilidade,Ampliação do sistema,Manancial com Alta Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Mínima,Média,Infraestrutura Recomendada,A2,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2919801_Macaubas.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5430,Macururé,2919900,Exclusivamente Subterrânea,2919900,0.000313,0.313216,Sistema Isolado,Autarquia Municipal,Manancial com Média Vulnerabilidade,Adequação do sistema,Manancial com Média Vulnerabilidade,70 ≥ Índice de Cobertura > 90%,Baixa,Baixa,Baixa,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,D,Ação necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2919900_Macurure.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5431,Boa Vista da Aparecida,4103057,Preponderantemente Superficial,4103057,0.002067,2.06703,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do Sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4103057_BoaVistadaAparecida.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5432,Bom Jesus do Sul,4103156,Exclusivamente Subterrânea,4103156,0.002067,2.067061,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4103156_BomJesusdoSul.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5433,Bom Sucesso do Sul,4103222,Exclusivamente Subterrânea,4103222,0.002137,2.136666,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4103222_BomSucessodoSul.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5434,Capitão Leônidas Marques,4104600,Exclusivamente Subterrânea,4104600,0.002067,2.067069,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4104600_CapitaoLeonidasMarques.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5435,Colorado,4105904,Exclusivamente Subterrânea,4105904,0.001483,1.482934,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4105904_Colorado.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5436,Corumbataí do Sul,4106555,Exclusivamente Subterrânea,4106555,0.000609,0.608979,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4106555_CorumbataidoSul.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5437,Santa Maria da Vitória,2928109,Exclusivamente Superficial,2928109,0.001107,1.106943,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Baixa,Máxima,Alta,Medida de Gestão,D,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2928109_SantaMariadaVitoria.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5438,Santa Rita de Cássia,2928406,Exclusivamente Superficial,2928406,0.000538,0.538305,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Baixa,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2928406_SantaRitadeCassia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5439,Santa Teresinha,2928505,Exclusivamente Superficial,2928505,8.8e-05,0.087975,Sistema Integrado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Adequação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária,Sistema Integrado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_BA_INT_19_Milagres.pdf,Sistema Integrado Paraguaçú-Milagres,,,,,,,,,,,,
5440,Cruzeiro do Sul,4106704,Exclusivamente Subterrânea,4106704,0.001514,1.513675,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura Recomendada,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_PR_INT_08_ParanacityCruzeirodoSul.pdf,Sistema Integrado Paranacity-Cruzeiro do Sul,,,,,,,,,,,,
5441,Diamante do Norte,4107108,Exclusivamente Subterrânea,4107108,0.001413,1.412882,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107108_DiamantedoNorte.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5442,Diamante D'Oeste,4107157,Exclusivamente Subterrânea,4107157,0.001314,1.314412,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107157_DiamanteDOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5443,Doutor Camargo,4107306,Exclusivamente Subterrânea,4107306,0.000609,0.608998,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107306_DoutorCamargo.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5444,São Félix,2929008,Exclusivamente Superficial,2929008,8e-05,0.079834,Sistema Integrado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,90 ≥ Índice de Cobertura > 97%,Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_BA_INT_20_Muritiba.pdf,Sistema Integrado Muritiba,,,,,,,,,,,,
5445,São Félix do Coribe,2929057,Exclusivamente Superficial,2929057,0.001108,1.108151,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2929057_SaoFelixdoCoribe.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5446,Caapiranga,1300839,Exclusivamente Subterrânea,1300839,0.002065,2.065238,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Adequação do sistema,Manancial Não Vulnerável com Adequação do sistema,70 ≥ Índice de Cobertura > 90%,Baixa,Alta,Média,Medida de Gestão,D,Sem Informação, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1300839_Caapiranga.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5447,Tremedal,2931806,Preponderantemente Superficial,2931806,0.000116,0.115836,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Satisfatório,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Baixa,Média,Infraestrutura Recomendada,A2,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2931806_Tremedal.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5448,Teolândia,2931608,Exclusivamente Superficial,2931608,0.000107,0.106742,Sistema Isolado,Companhia Estadual,Manancial com Média Vulnerabilidade,Adequação do sistema,Manancial com Média Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Baixa,Média,Infraestrutura que Requer Estudo de Alternativas - Novo Manancial,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2931608_Teolandia.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5449,Terra Nova,2931707,Exclusivamente Superficial,2931707,0.000101,0.101496,Sistema Integrado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,70 ≥ Índice de Cobertura > 90%,Média,Baixa,Média,Infraestrutura Recomendada,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2931707_TerraNova.pdf,Sistemas,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_BA_INT_05_AmeliaRodrigues.pdf,Sistema Integrado Amélia Rodrigues,,,,,,,,,,
5450,Tucano,2931905,Exclusivamente Subterrânea,2931905,5e-05,0.049621,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura Potencial com Estudo Complementar,B,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2931905_Tucano.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5451,Uauá,2932002,Exclusivamente Superficial,2932002,5e-05,0.049751,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação não necessária,Sistema Isolado,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_2932002_Uaua.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5452,Careiro da Várzea,1301159,Exclusivamente Superficial,1301159,0.002342,2.342284,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Baixa,Média,Média,Infraestrutura Recomendada,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1301159_CareirodaVarzea.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5453,Teixeirópolis,1101559,Exclusivamente Superficial,1101559,0.000688,0.688377,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura < 50%,Mínima,Média,Baixa,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1101559_Teixeiropolis.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5454,Engenheiro Beltrão,4107504,Exclusivamente Subterrânea,4107504,0.000609,0.609013,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107504_EngenheiroBeltrao.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5455,Esperança Nova,4107520,Exclusivamente Subterrânea,4107520,0.001314,1.314408,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Média,Alta,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107520_EsperancaNova.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5456,Amapá,1600105,Exclusivamente Superficial,1600105,0.002223,2.223117,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura < 50%,Mínima,Média,Baixa,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1600105_Amapa.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5457,Calçoene,1600204,Exclusivamente Superficial,1600204,0.000938,0.938258,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Ampliação do sistema,Manancial com Baixa Vulnerabilidade,Índice de Cobertura < 50%,Mínima,Média,Baixa,Infraestrutura Recomendada,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_1600204_Calcoene.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5458,Entre Rios do Oeste,4107538,Exclusivamente Subterrânea,4107538,0.001314,1.314401,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Baixa,Máxima,Alta,Medida de Gestão,D,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107538_EntreRiosdoOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5459,Guairaçá,4108908,Exclusivamente Subterrânea,4108908,0.001337,1.337304,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4108908_Guairaca.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5460,Fênix,4107702,Exclusivamente Subterrânea,4107702,0.000609,0.608944,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107702_Fenix.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5461,Floraí,4107801,Exclusivamente Subterrânea,4107801,0.000609,0.609033,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Média,Média,Média,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,C,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4107801_Florai.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5462,Francisco Alves,4108320,Exclusivamente Subterrânea,4108320,0.001314,1.314412,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Média,Máxima,Alta,Medida de Gestão,B,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4108320_FranciscoAlves.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5463,Foz do Jordão,4108452,Exclusivamente Superficial,4108452,0.001967,1.966955,Sistema Isolado,Companhia Estadual,Manancial com Baixa Vulnerabilidade,Satisfatório,Manancial com Baixa Vulnerabilidade,Índice de Cobertura ≥ 97% (Pleno),Alta,Alta,Alta,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4108452_FozdoJordao.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5464,Inajá,4110300,Exclusivamente Subterrânea,4110300,0.001442,1.442008,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4110300_Inaja.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5465,Godoy Moreira,4108551,Exclusivamente Superficial,4108551,0.000609,0.608907,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4108551_GodoyMoreira.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5466,Guaporema,4109104,Exclusivamente Subterrânea,4109104,0.00104,1.039956,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4109104_Guaporema.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5467,São Carlos do Ivaí,4124608,Exclusivamente Subterrânea,4124608,0.000609,0.609068,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4124608_SaoCarlosdoIvai.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5468,Guaraci,4109203,Exclusivamente Subterrânea,4109203,0.00159,1.590215,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4109203_Guaraci.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5469,Ibema,4109757,Exclusivamente Subterrânea,4109757,0.002023,2.02298,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4109757_Ibema.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5470,Indianópolis,4110409,Exclusivamente Subterrânea,4110409,0.002285,2.284742,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4110409_Indianopolis.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5471,Icaraíma,4109906,Exclusivamente Subterrânea,4109906,0.001142,1.141781,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4109906_Icaraima.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5472,Iguaraçu,4110003,Exclusivamente Subterrânea,4110003,0.002246,2.245999,Sistema Isolado,Autarquia Municipal,Manancial Não Vulnerável,Ampliação do sistema,Manancial Não Vulnerável com Ampliação do sistema,Índice de Cobertura ≥ 97% (Pleno),Alta,Média,Alta,Infraestrutura que Requer Estudo de Alternativas - Ampliação do Sistema,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4110003_Iguaracu.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5473,Iguatu,4110052,Exclusivamente Subterrânea,4110052,0.001314,1.314276,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4110052_Iguatu.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
5474,Iracema do Oeste,4110656,Exclusivamente Subterrânea,4110656,0.001314,1.314345,Sistema Isolado,Companhia Estadual,Manancial Não Vulnerável,Satisfatório,Manancial Não Vulnerável com Sistema Satisfatório,Índice de Cobertura ≥ 97% (Pleno),Alta,Máxima,Máxima,Medida de Gestão,A2,Ação não necessária, ,http://portal1.snirh.gov.br/arquivos/Croquis_SNIRH/3CC_4110656_IracemadoOeste.pdf,Sistema(s) Isolado(s),,,,,,,,,,,,
